,abstract_id,line_id,abstract_text,line_number,total_lines,target
49800,25274230,25274230_9_12,The culture growth and colony forming units rate were significantly higher in the samples obtained from the first group than in those obtained from the other groups ( p < 0.01 ) .,9,12,RESULTS
46996,24550171,24550171_5_14,"At week 12 , there was no statistically significant difference in ASAS20 response rate between placebo ( ASAS20 = 24.0 % ) and any sarilumab dose group .",5,14,RESULTS
143563,24953249,24953249_11_14,"After 15 sessions of treatment , a significant reduction was determined in the composite spasticity score ( 2.75 ; 99 % CI , 1.31-4 .19 ; P < .001 ) , the muscle tone score ( 1.75 ; 99 % CI , 0.16-3 .34 ; P = .006 ) , and the ankle clonus score ( 0.75 ; 99 % CI , 0.18-1 .32 ; P = .003 ) in the experimental group , whereas none of the outcome variables revealed a significant reduction in the control group .",11,14,RESULTS
20853,24612502,24612502_3_10,Patients meeting the inclusion criteria and providing written informed consent will be randomized to 24 weeks of neoadjuvant treatment with letrozole ( 2.5 mg/day ) and either metformin ( 2000 mg/day ) or placebo .,3,10,METHODS
64016,24405979,24405979_9_14,Two preterm infants in the LDA group and three in the combination group were admitted to the neonatal intensive care unit .,9,14,RESULTS
139802,26255520,26255520_11_14,"After treatment , the follicle-stimulating hormone ( FSH ) , luteinizing hormone ( LH ) , LH/FSH , testos terone ( T ) were significantly reduced in the observation group ( P < 0.01 , P < 0.05 ) ; the LH and T were also apparently reduced in the control group ( P < .01 , P < 0.05 ) .",11,14,RESULTS
14901,24958736,24958736_14_15,UFT/LV should be an oral treatment option for patients with stage III colon cancer who have undergone Japanese D2/D3 lymph node dissection .,14,15,CONCLUSIONS
17583,24453485,24453485_0_11,"This study investigated the clinical efficacy of electroacupuncture ( EA ) in inhibiting upper-extremity spasticity in chronic stroke patients , and also in mapping a unique preliminary acupoint-selection protocol .",0,11,BACKGROUND
168913,25166023,25166023_9_16,Plasma insulin reductions with canagliflozin were consistent with observed PG reductions .,9,16,RESULTS
153165,24519421,24519421_4_8,"Statistical analysis showed , from baseline to the 6-month visit , a significant reduction in CFT ( P < 0.0001 ) and a significant improvement in VA only in the 0.5 % INDOM-treated group ; a global reduction of discomfort symptoms was present in both groups ( P < 0.001 ) .",4,8,RESULTS
82140,26154547,26154547_5_8,"However , postoperatively the group with shortened fasting had higher values than the group with conventional fasting for lung function tests peak expiratory flow ( 128.762.5 versus 115.759.9 ; p = 0.040 ) , forced expiratory volume in the first second ( 1.50.6 versus 1.20.5 ; p = 0.040 ) , forced vital capacity ( 2.31.1 versus 1.80.9 ; p = 0.021 ) , and for muscle function tests dominant handgrip strength ( 24.96.8 versus 18.47.7 ; p = 0.001 ) and non-dominant handgrip strength ( 22.96.3 versus 17.07.8 ; p = 0.0002 ) .",5,8,RESULTS
98995,25196117,25196117_4_12,The primary end point was the time to the first moderate or severe COPD exacerbation .,4,12,METHODS
81351,24560554,24560554_9_15,The preoperative to 1-month postoperative mean simulated K ranged between 43.30 diopters ( D ) 0.82 ( SD ) and 43.170.82 D in the study group and between 43.341.44 D and 43.291.48 D in the control group .,9,15,RESULTS
101036,25339342,25339342_6_14,"Participants were assessed at the beginning , midpoint , and end of each period .",6,14,METHODS
106345,25337976,25337976_15_17,Our findings support the notion that patient race and sex may be less influential on decision making when there are strong clinical data to support a decision .,15,17,CONCLUSIONS
118922,25029914,25029914_6_11,Assessments were made in both groups after 3 weeks of training on artificial turf ( baseline ) and 3 weeks later ( follow-up ) .,6,11,BACKGROUND
178099,24843960,24843960_0_17,"To observe the difference in the therapeutic effects on knee osteoarthritis ( KOA ) among auricular electroacupuncture therapy plus isolated moxibustion with Lingxian herbal paste ( combined therapy ) , electroacupuncture ( EA ) and TDP irradiation .",0,17,OBJECTIVE
97595,24910215,24910215_5_14,Two groups were similar in terms of baseline characteristics .,5,14,RESULTS
145873,25074698,25074698_5_13,There were no in-hospital deaths .,5,13,RESULTS
109016,25618967,25618967_5_16,The patients in both groups were treated for 8 weeks .,5,16,METHODS
43984,25154844,25154844_3_13,Each group had 50 cases .,3,13,METHODS
10189,25080293,25080293_7_8,"IGF1 titration resulted in physiological IGF1 levels with a wide range of GH dose and a poorer growth response , which indicates the role of IGF1 resistance and highlights the heterogeneity of short SGA children .",7,8,CONCLUSIONS
20888,25616294,25616294_2_9,"According to the early application of different doses of amino acids , they were randomized into low-dose group ( n = 29 , 1.0 g/kg per day with an increase of 1.0 g/kg daily and a maximum of 3.5 g/kg per day ) , medium-dose group ( n = 28 , 2.0 g/kg per day with an increase of 1.0 g/kg daily and a maximum of 3.7 g/kg per day ) , and high-dose group ( n = 29 , 3.0 g/kg per day with an increase of 0.5-1 .0 g/kg daily and a maximum of 4.0 g/kg per day ) .",2,9,METHODS
5736,24579935,24579935_8_11,No adverse effects were reported .,8,11,RESULTS
331,25872502,25872502_8_11,"The trial commenced in December 2012 and , when completed , will provide clinical evidence as to whether targeting mild hypercapnia for 24 h following intensive care unit admission for cardiac arrest patients is feasible and safe and whether it results in decreased concentrations of neurological injury biomarkers compared with normocapnia .",8,11,CONCLUSIONS
53955,24909499,24909499_2_16,We aimed to assess the efficacy and safety of intravenous to oral tedizolid for treatment of patients with acute bacterial skin and skin-structure infections .,2,16,BACKGROUND
61820,24850114,24850114_2_19,"Interventions in managing chronic thoracic pain are also less frequent , leading to the paucity of literature about various interventions in managing chronic thoracic pain .",2,19,BACKGROUND
22034,25306517,25306517_11_14,"In the treatment of rotator cuff tears with stiffness , satisfactory results can be achieved either by repairing the tear with simultaneous capsular release or by waiting to perform the repair after preoperative rehabilitation for stiffness .",11,14,CONCLUSIONS
158525,25567713,25567713_11_12,The use of amoxicillin ( or clindamycin ) can not effectively prevent and reduce the postoperative inflammatory complications after surgical extraction of the impacted mandibular third molar .,11,12,CONCLUSIONS
82359,24469906,24469906_5_10,"In contrast , after the second dose , systemic PGE2 concentrations were significantly reduced by both coxibs , indicating similar maximum systemic effects of the selected doses .",5,10,RESULTS
89949,24660675,24660675_3_11,"One hundred outpatients seeking psychotherapy for depression , anxiety , and personality disorders were randomly assigned to weekly dynamic psychotherapy , either with or without relationship work , for 1 year .",3,11,METHODS
143717,24397408,24397408_3_5,"Mifepristone led to increased wake time , decreased stage 2 and rapid eye movement ( REM ) sleep and prolonged REM sleep latency in the first half of the night , whereas spironolactone had no considerable effects on sleep EEG .",3,5,RESULTS
89347,24373547,24373547_6_12,Another canopy with a film that transmits about 79 % blue light will be used during overcast periods of the day .,6,12,METHODS
40378,24246414,24246414_4_13,"Secondary endpoints were clinical failure ( CF ) , local failure ( LF ) , prostate cancer death ( PCD ) , and overall survival ( OS ) .",4,13,METHODS
58104,24568148,24568148_2_17,The results provide a basis to develop an evidence-based training program .,2,17,BACKGROUND
158195,24340150,24340150_6_12,"Both reconstructed specimens then underwent repeat translational testing , followed by load to failure testing , via superior clavicle distraction , at a rate of 50 mm/min .",6,12,METHODS
49002,25445871,25445871_6_15,Forty-five percent had at least 1 episode of hypoventilation .,6,15,RESULTS
156191,24894359,24894359_2_10,"To examine whether there are reliable profiles that characterize children with LI just prior to kindergarten entrance , and the extent to which profile membership is associated with characteristics of children 's homes and preschool experiences .",2,10,OBJECTIVE
103736,24361088,24361088_13_14,The results do not support the concept of using mRNA expression profiles for CYP2D6 and CYP2C19 enzymes in PBLs for prediction of systemic enzyme activity .,13,14,CONCLUSIONS
154175,24310562,24310562_4_17,Tissue-specific insulin sensitivity was measured with hyperinsulinaemic-euglycaemic clamps combined with stable isotopes .,4,17,METHODS
157672,24939380,24939380_6_15,"Fifty-four subjects ( mean age , 23years ; 37 women ) were randomized to ETAC ( n = 28 ) or open ICS ( n = 26 ) .",6,15,RESULTS
67739,24700467,24700467_5_19,Postoperative pain ( 2 weeks ) was recorded by visual analogue scale ( VAS ; ranging from 0 to 100 ) .,5,19,METHODS
65429,24429154,24429154_4_17,"We used a central randomisation system to allocate participants to intravenous MgSO ( 4 ) ( 2 g in 20 min ) or nebulised MgSO ( 4 ) ( three 500 mg doses in 1 h ) alongside standard therapy including salbutamol , or placebo control plus standard therapy alone .",4,17,METHODS
25343,25912051,25912051_1_13,Patients receiving a stable oral dosage of carbamazepine were switched to an intravenous ( IV ) carbamazepine formulation solubilized in a cyclodextrin matrix ( at a 70 % dosage conversion ) for either a 15 - or a 30-min infusion every 6 h for up to 7 days and then switched back .,1,13,METHODS
76563,25982590,25982590_9_14,"Steady-state minimum concentration ( C ( min ) ) and overall exposure ( AUC0-24 ) for intravenous carbamazepine infused over 30 , 15 , or 2-5 min were similar to oral carbamazepine .",9,14,RESULTS
136428,25923549,25923549_11_16,"Among 127 patients with centrally confirmed EGFR T790M who could be evaluated for response , the response rate was 61 % ( 95 % CI , 52 to 70 ) .",11,16,RESULTS
152032,25169631,25169631_13_16,"In sildenafil group , arterial partial pressure of oxygen , oxygen saturation and left ventricular ejection fraction , pulmonary systolic pression showed increased trend before and after treatment , which were ( 80 9 ) % to ( 88 9 ) % , ( 84 3 ) to ( 89 7 ) mmHg , 0.70 0.32 to 0.79 0.27 ( P < 0.05 ) , in the mean time , pulmonary systolic pression showed decreased trend from ( 65 18 ) to ( 60 13 ) mmHg ( P < 0.05 ) .",13,16,RESULTS
95721,24576912,24576912_13_15,"FAST may be a useful prehospital tool to identify stroke/TIA but has limitations as the test can be negative in true strokes , can be positive in nonstrokes , and FAST symptoms may be present but not identified in the emergency call .",13,15,CONCLUSIONS
128244,25295771,25295771_8_11,"Changes in blood glucose were significantly different between groups , with groups prescribed high-intensity activity ( ie , exercise ) demonstrating greater reductions in blood glucose than the group prescribed changes to sedentary behavior alone ( P < 0.05 ) .",8,11,RESULTS
12079,25122429,25122429_8_12,"Median age was 65 years ( range , 31-93 ) , and 252 patients ( 12.8 % ) identified as never smokers .",8,12,RESULTS
142779,25444633,25444633_9_11,"Postvoid residual volume and voiding time decreased considerably , whereas maximum urine flow increased significantly in group A compared with group B ( 17.2 4.7 vs 12.9 4.6 mL/s ; P < .01 ) .",9,11,RESULTS
102407,24352823,24352823_8_9,I-ONE therapy should be considered an effective completion of the TKA procedure .,8,9,CONCLUSIONS
10410,24535626,24535626_10_11,Clinical trials number : NCT00490412 .,10,11,CONCLUSIONS
20678,25255696,25255696_14_19,"A 26 % reduction in the rate of injuries caused by falls at home per year exposed to the intervention was estimated in people allocated to the treatment group compared with those assigned to the control group , after adjustment for age , previous falls , sex , and ethnic origin ( relative rate 0.74 , 95 % CI 0.58-0 .94 ) .",14,19,RESULTS
129739,25280421,25280421_4_10,Blood zinc levels significantly increased in the Z group ( P = 0.0037 ; Friedman test ) but not the P group .,4,10,RESULTS
97219,25794201,25794201_0_26,The effectiveness of greater occipital nerve block ( GONB ) in patients with primary headache syndromes is controversial .,0,26,BACKGROUND
166244,24885220,24885220_8_13,Definitive data are lacking to guide the clinical use of probiotics in children with acute gastroenteritis .,8,13,CONCLUSIONS
50805,25430452,25430452_6_15,"After the operations , 0.2 % ropivacaine was given at a speed of 5 ml/h through catheters in all patients .",6,15,METHODS
147131,24434302,24434302_9_11,"Costs were increased by 298 per patient ( 95 % CI , 76 to 520 ) .",9,11,RESULTS
45795,25042661,25042661_4_16,Primary endpoint was CIMT measured by B mode ultrasonography .,4,16,METHODS
85033,25457116,25457116_7_12,"Benefit of checklists was better in type 2 scenarios than in type 1 scenarios ( 2 vs 1 additional item , P < .05 ) .",7,12,RESULTS
71447,24885437,24885437_10_11,Registration date : 24 December 2013 .,10,11,BACKGROUND
158814,25678325,25678325_7_9,The differences between INCENT and LMW in weight loss and BMI reduction were not statistically significant .,7,9,RESULTS
180023,24793028,24793028_6_11,The primary outcome was achieved by 3.8 % of controls and 26.9 % of the dose escalation group ( P = .0496 ) .,6,11,RESULTS
13182,24918371,24918371_5_13,Blood pressure was reduced in all three groups .,5,13,RESULTS
18441,25005937,25005937_6_11,"When compared with the area under the curve ( AUC ) following NPH and glargine , detemir resulted in the lowest 6-14h AUC ( mean and range ) of IGFBP1 ( 1518 ( 1280-1800 ) ) vs 1621 ( 1367-1922 ) vs 1020 ( 860-1210 ) g/lh ) and GH ( 17.1 ( 14.1-20 .6 ) vs 15.4 ( 12.7-18 .6 ) vs 10.2 ( 8.5-12 .3 ) g/lh ) , but in the highest AUC of bioactive IGF ( 3.8 ( 3.5-4 .2 ) vs 3.7 ( 3.4-4 .0 ) vs 4.4 ( 4.1-4 .8 ) g/lh ) ( all P < 0.01 ) .",6,11,RESULTS
137679,25008546,25008546_7_15,"This study is registered at ClinicalTrials.gov , number NCT01283594 .",7,15,METHODS
116100,24720927,24720927_3_10,There is less evidence for the benefit of ET in women with heart failure ( HF ) compared with men because of the small numbers of women studied .,3,10,BACKGROUND
53163,25298250,25298250_4_12,"Of the remaining 58 patients , 32 were randomized to emergency surgery ( 31 resection , 1 stoma only ) and 26 to stenting .",4,12,RESULTS
166825,25831269,25831269_10_15,"Those who were sent a PIN-protected message were less likely to identify the message ( AOR 0.11 , 95 % CI 0.03-0 .44 , P = .002 ) or return within 7 days ( AOR 0.26 , 95 % CI 0.10-0 .66 , P = .005 ) .",10,15,RESULTS
50792,24291168,24291168_10_17,"30 ( 3.7 % , 95 % CI 2.5-5 .2 ) participants in the LT-patch group and 46 ( 5.6 % , 4.1-7 .4 ) in the placebo group had moderate or severe ETEC diarrhoea ( vaccine efficacy 34.6 % , -2.2 to 58.9 ; p = 0.0621 ) .",10,17,RESULTS
71244,24412554,24412554_1_10,"The present study , which was carried out at a boarding school in Bangladesh , was designed to examine probable effect of NS on mood , anxiety and cognition in adolescent human males .",1,10,BACKGROUND
37078,24372674,24372674_4_14,"The secondary end-points were estimated in per-protocol population and were time to stone passage , post-trial Euro-quality-of-life ( EuroQOL ) score , oral analgesic requirements , and willingness to undergo conservative treatment again .",4,14,METHODS
57060,24732962,24732962_6_12,"Obsessive-compulsive symptoms were significantly improved in the treatment group compared to the waiting-list control group with large effect sizes of Cohen 's d = 0.82 ( Y-BOCS SR ) and d = 0.87 ( OCI-R ) , using an intention-to-treat analysis .",6,12,RESULTS
83209,25267266,25267266_5_20,"Of the enrolled patients , 80 ( 88 % ) met prespecified inclusion criteria for analysis in the present study .",5,20,METHODS
154357,24437955,24437955_1_17,Retrospective study with 24 months follow-up period .,1,17,METHODS
65497,24694475,24694475_11_12,Infection was the most serious complication during the treatment .,11,12,CONCLUSIONS
156569,24428461,24428461_0_10,To test the effectiveness of tailored quitline ( telephone ) counselling among smoking parents recruited into cessation support through their children 's primary schools .,0,10,OBJECTIVE
84462,26441180,26441180_15_16,anzctr.org Identifier : ACTRN12609000663257 .,15,16,BACKGROUND
51165,24352085,24352085_11_14,Two mothers had a red and/or painful arm during infusion .,11,14,RESULTS
14026,24724863,24724863_4_8,"Analysis of secondary outcomes showed a shorter time to first bleeding episode with no prophylaxis in the chemo/alloHSCT group ( hazard ratio , 1.84 ; 95 % confidence interval CI , 1.21-2 .79 ; p = 0.004 ) compared to the autoHSCT group ( hazard ratio , 1.12 ; 95 % CI , 0.85-1 .48 ; p = 0.4 ; interaction p = 0.08 ) .",4,8,RESULTS
48040,24401765,24401765_2_5,"Two rotational tests in yaw were used : ( 1 ) a threshold task investigating perceptual motion detection and nystagmic thresholds ( acceleration steps of 0.5 / s ( 2 ) ) and ( 2 ) suprathreshold responses to velocity steps of 90/s in which vestibulo-ocular and vestibuloperceptual time constants of decay , as well as VOR gain , were measured .",2,5,METHODS
128975,25880004,25880004_0_9,"This randomised , open-label , multicenter phase II study compared progression-free survival ( PFS ) of S-1 plus oxaliplatin ( SOX ) with that of S-1 alone in patients with gemcitabine-refractory pancreatic cancer .",0,9,BACKGROUND
123869,26063068,26063068_15_16,This trial was registered at clinicaltrials.gov as NCT02221752 .,15,16,CONCLUSIONS
45694,25486269,25486269_3_10,Participants from the United States and Canada were enrolled within five years of Parkinson Disease diagnosis .,3,10,METHODS
116658,24962185,24962185_11_16,"After the 5th operation , adhesion scores in the NAB group were 67 % greater ( approximately 1 Zuhlke point ) than the CMHAB group .",11,16,RESULTS
165536,24518152,24518152_6_9,"Background characteristics , including age , menopause status , subjective symptom scores , body composition , and cardiovascular parameters , were similar among the groups .",6,9,RESULTS
178806,25487932,25487932_10_14,"In the experimental group , MAS , GMFM and extension angle of hip joints changed significantly after therapy .",10,14,RESULTS
131751,24231014,24231014_6_14,"The largest drop of albumin concentration in the control group was 28.5 % , whereas in the intervention group was 23.8 % .",6,14,RESULTS
70799,24233282,24233282_9_11,"Neurobehavioral functioning , including persistently elevated depressive symptoms and lower neurocognitive performance , was associated with reduced survival after lung transplantation .",9,11,CONCLUSIONS
70844,24665869,24665869_5_13,"The two intervention groups also completed a questionnaire evaluating their use of , and satisfaction with , the intervention .",5,13,METHODS
162402,25538277,25538277_3_9,Single MF59-adjuvanted H3N2c doses elicited immune responses in almost all subjects regardless of antigen and adjuvant dose ; the Center for Biologics Evaluation Research and Review ( CBER ) licensure criteria were met for all groups .,3,9,RESULTS
94819,24373019,24373019_4_14,Quality of life and safety profiles were also compared .,4,14,METHODS
97427,25233656,25233656_2_11,"Different stimulation intensities of acupuncture at Hegu ( LI 4 ) combined with facial paralysis acupoints , including Yingxiang ( LI 20 ) , Dicang ( ST 4 ) , Jiache ( ST 6 ) and Quanliao ( SI 18 ) , were applied in Hegu 1 to 4 groups ; meanwhile acupuncture at stroke acupoints , including Neiguan ( PC 6 ) , Shuigou ( GV 26 ) and Sanyinjiao ( SP 6 ) , and medication treatment were adopted .",2,11,METHODS
123410,25499543,25499543_2_20,We aimed to assess the efficacy of oral supplementation with vitamin A given to infants in the first 3 days of life to reduce mortality between supplementation and 180 days ( 6 months ) .,2,20,BACKGROUND
45766,24864182,24864182_0_14,"Caustic substance ingestion in childhood is a public health issue in developing countries , and several management protocols have been proposed to prevent the resulting esophageal strictures .",0,14,OBJECTIVE
7752,24909469,24909469_0_7,The objective of the following study is to examine the effectiveness and safety of suspension laryngoscopy under intubation with propofol and remifentanil alone for vocal fold nodule ( VFN ) excision .,0,7,OBJECTIVE
177589,25351805,25351805_6_8,Addition of equol and/or ODMA production status as covariates did not significantly change these results .,6,8,RESULTS
165616,24379032,24379032_13_17,Mean peak C-peptide values were similar between groups at baseline .,13,17,RESULTS
134237,25955224,25955224_8_14,Metaphase II ( MII ) oocytes were retrieved .,8,14,METHODS
166924,25127084,25127084_3_14,"Participants completed surveys to assess depression , social support , positive affect , and stress at baseline , 6 months and 12 months .",3,14,METHODS
22227,24286991,24286991_6_11,"Because of the high inter-correlations of the factors of the tripartite model , the bifactor model is the preferable factor solution .",6,11,RESULTS
31678,25300392,25300392_8_13,"Secondary outcomes include changes from baseline to one-year follow-up in physical inactivity prevalence measured by a modified version of the questions developed by Saltin and Grimby , and in self-rated health measures using the Short-Form 12 , Health Survey , version 2 .",8,13,METHODS
94906,24469880,24469880_2_8,"Patients with HPR defined as Platelet Function Analyzer ( PFA ) -100 collagene/epinephrine closure time ( CEPI-CT ) < 193 s ( n = 80 ) were randomized to 150 mg of ASA or 75 mg of clopidogrel in 2:3 ratio , respectively .",2,8,METHODS
56134,24825262,24825262_16_17,"None of the regime is effective in normalization of vitamin D status in majority of patients , 3 months after administering the therapeutic dose .",16,17,CONCLUSIONS
132584,24637789,24637789_1_5,The patients with stage I or II primary hypertension will be randomly assigned to either an azilsartan group ( n = 350 ) or an amlodipine group ( n = 350 ) .,1,5,METHODS
49563,24237482,24237482_7_11,Intervention participants reported high levels of satisfaction with HR-VG ; 84 % reported being `` very satisfied '' overall .,7,11,RESULTS
2721,24298907,24298907_12_13,Clinical trial registered with http://www.umin.ac.jp/english/ ( UMIN000002819 ) .,12,13,CONCLUSIONS
46082,25428176,25428176_2_17,A total of 28 eyes of 18 patients were included .,2,17,METHODS
70659,25884343,25884343_11_18,"Vertebral body height , kyphotic wedge angle , and VAS score were not evidently altered .",11,18,RESULTS
157519,25241544,25241544_0_9,The clinical results of restoring defective teeth with two types of glass fiber prothetic systems is investigated to acquire clinical experience for further application of glass fiber posts with independent intellectual property rights .,0,9,OBJECTIVE
60894,24521531,24521531_1_12,Nonmedical prescription opioid use carries increasingly high costs .,1,12,OBJECTIVE
59899,24862167,24862167_3_12,"Methadone maintenance patients , smoking 5 cigarettes/day , interested in quitting , stable in methadone treatment , without current Axis I psychiatric disorders , suicidal ideation or recent suicide attempts .",3,12,METHODS
17744,24448756,24448756_9_14,Hb variability was less frequent in the Aranesp group ( p = 0.2 ) .,9,14,RESULTS
138755,25659155,25659155_6_14,"In 54 children ( M : F = 26:28 ; 5-15 years ; mean 9 years ) , the dual fat fraction ( 0.1-8 .0 % ; median 1.6 % ) was not different from the triple fat fraction ( 0.4-6 .5 % ; median 2.7 % ) ( p = 0.010 ) .",6,14,RESULTS
17182,25824327,25824327_10_16,"Among eyes treated as needed ( n = 598 ) and followed up for 2 years ( n = 516 ) , the mean number of injections was 15.4 0.9 for eyes having VMT at baseline or during follow-up ( n = 60 ) , 13.8 0.7 for eyes with VMA at baseline or follow-up ( n = 79 ) , and 12.9 0.4 ( P = 0.02 ) for eyes without VMT or VMA ( n = 377 ) .",10,16,RESULTS
26878,25171390,25171390_0_18,"Hypertension is associated with cognitive deficits , particularly executive function , and decreased cerebral microvascular responsiveness to CO2 ( CO2 vasoreactivity ) .",0,18,BACKGROUND
13450,24978674,24978674_0_10,The objective of the study was to assess the effect of T treatment on constitutional and sexual symptoms in men with type 2 diabetes ( T2D ) .,0,10,OBJECTIVE
7777,25306290,25306290_9_10,"This study suggests that in older people with PPH , intermittent walking at a usual pace attenuates the fall in SBP after ingestion of a glucose drink .",9,10,CONCLUSIONS
8500,25108448,25108448_13_17,"In our small sample , relative risk for death did not differ significantly , but deferred treatment seemed to carry no increased survival or other clinical advantage .",13,17,CONCLUSIONS
26983,26441181,26441181_16_20,Four sigmoid carcinomas were missed with laparoscopic lavage .,16,20,RESULTS
168932,25375395,25375395_12_15,An imbalance is evident between patients who would like to discuss cost with their doctor and those who actually do .,12,15,CONCLUSIONS
47367,24700145,24700145_8_10,Children in the high-variability condition also produced significantly more unique utterances containing their trained morpheme than children in the low-variability condition .,8,10,RESULTS
144606,24346752,24346752_7_15,A mixed-model analysis was applied .,7,15,METHODS
49710,24321569,24321569_12_13,LGP proved to be a simpler and less costly procedure compared with LMGB with a lower risk of iron deficiency during a 1-year follow-up study .,12,13,CONCLUSIONS
138607,25967575,25967575_0_9,"Recent symptoms stand as a major determinant of stroke risk in patients with carotid stenosis , likely reflective of atherosclerotic plaque destabilization .",0,9,OBJECTIVE
148782,25523287,25523287_3_14,Five phase I studies were conducted .,3,14,METHODS
47276,25555877,25555877_4_14,"General anesthesia was induced with propofol 1.5-2 .0 mg/kg , sufentanil 0.4 g/kg , and Rocuronium 0.6-0 .9 mg/kg .",4,14,METHODS
48717,25057084,25057084_4_7,"The median time to progression was 7.9 months in the maintenance group and 6.8 months in the control group , with median overall survival time of 13.8 and 11.7 months , respectively ( P > 0.05 ) .",4,7,RESULTS
114064,25205320,25205320_5_7,"No significant differences were observed in the incidence rate ratio or duration of lower respiratory tract infection or in the levels of plasma cytokines , salivary immunoglobulin A or urinary metabolites .",5,7,RESULTS
98542,24631433,24631433_6_11,Weekly UI episodes decreased by 86 % at 24 months ( P < .001 ) .,6,11,RESULTS
154092,25490971,25490971_12_20,"The intervention consists of training to build LHS knowledge and skills , clinical mentorship and written feedback to LHWs .",12,20,METHODS
154623,25673979,25673979_8_12,Electron microscopy evaluations showed a clear dermal remodeling in relation with the activation of fibroblast activity .,8,12,RESULTS
87755,24465955,24465955_0_16,The pre-drinking mood state has been indicated to be an important factor in the mood effects of alcohol .,0,16,BACKGROUND
